,YYYY,MM,T,S,O,Q,time,longitude,latitude,slhf,ssr,sshf,str,u10,v10,t2m,WL
37,2013,2,14.354,7.1239,9.6506,5137.5777,2/1/2013,-88,30.25,-7209799.5,12531580,-1282531.8,-5846269.5,-0.6269888,-0.37202212,287.90552,0.0274
38,2013,3,14.9336,10.3902,9.7702,3081.5986,3/1/2013,-88,30.25,-10311128,18866712,-2469140.5,-7896309.5,0.50506014,-0.93533707,287.6261,0.0126
39,2013,4,20.4658,10.0347,8.6292,2766.457,4/1/2013,-88,30.25,-6423942.5,18760220,-792420.5,-5530392,-2.5828345,0.8481538,292.764,0.0981
40,2013,5,23.2267,10.1911,7.7737,2905.9157,5/1/2013,-88,30.25,-10063928,21943814,-1058450.2,-6158773,-0.8353796,1.8327659,295.7601,0.1045
41,2013,6,28.7671,15.5399,6.7135,1041.1804,6/1/2013,-88,30.25,-9570609,21604780,-722099.5,-4724462,1.2654972,2.312388,300.20935,0.1132
42,2013,7,28.4653,15.7811,7.0215,1821.976,7/1/2013,-88,30.25,-9916400,18317412,-974705.75,-4551973.5,0.355512,1.2722822,300.06622,0.1804
43,2013,8,28.9878,15.684,5.562,1166.9758,8/1/2013,-88,30.25,-9776068,17834400,-926198,-4652346,-0.7037772,0.9249387,300.5636,0.1751
44,2013,9,28.8904,19.2548,5.4685,517.414,9/1/2013,-88,30.25,-11596421,17651572,-985993.75,-5409038.5,-2.108187,0.41938215,300.36853,0.2254
45,2013,10,23.8704,23.4818,7.1457,459.6639,10/1/2013,-88,30.25,-13090413,14285694,-1642678.8,-6501008.5,-2.236127,-0.5771213,296.37872,0.2146
46,2013,11,16.709,26.078,8.3582,617.4101,11/1/2013,-88,30.25,-17266536,10959750,-4495635,-7118319,-3.4789026,-3.1387663,290.46405,0.1519
47,2013,12,12.923,17.9188,10.0548,2570.8183,12/1/2013,-88,30.25,-8814258,8947286,-2832033.5,-5864298.5,-0.77910066,-1.2371534,288.1559,0.0202
48,2014,1,9.2458,13.7572,10.9363,2207.797,1/1/2014,-88,30.25,-12145513,10685372,-5595143.5,-7762198.5,0.30887738,-2.2165558,283.0508,-0.1068
49,2014,2,11.6115,11.7467,10.9636,3092.9935,2/1/2014,-88,30.25,-5140808,12438400,-1825421.8,-4942076,-0.5871907,-0.765799,286.2191,-0.0386
50,2014,3,15.1554,11.348,9.7194,2390.8514,3/1/2014,-88,30.25,-5624412.5,14900734,-1070958.5,-5480522,-0.76799136,-0.14925562,288.07086,-0.0156
51,2014,4,19.4308,4.3246,8.9005,5040.296,4/1/2014,-88,30.25,-5400961.5,19925916,-812098.25,-5463758.5,-0.9039886,1.2361549,292.185,0.1111
52,2014,5,24.4743,7.5248,7.5196,1790.0876,5/1/2014,-88,30.25,-9496125,22056010,-989044.5,-6688152,-0.28125793,2.2363958,296.4894,0.1409
53,2014,6,28.391,12.4985,6.577,1233.9518,6/1/2014,-88,30.25,-8766400,22127728,-558271.5,-4980559,0.9693308,2.342739,300.2121,0.1419
54,2014,7,28.4943,19.3356,6.4339,576.7127,7/1/2014,-88,30.25,-10614460,22589552,-665507.25,-5418106,2.485932,0.48506826,300.63498,0.0183
55,2014,8,29.4943,23.9712,6.1733,318.2534,8/1/2014,-88,30.25,-10041259,20483636,-586949,-4983194.5,1.1109438,0.497073,301.50195,0.1011
56,2014,9,28.6943,24.8091,6.1552,306.7276,9/1/2014,-88,30.25,-12356371,16636104,-1349039,-5277880,-2.129551,-0.29229277,299.96616,0.2282
57,2014,10,23.4911,24.4484,7.0142,579.6266,10/1/2014,-88,30.25,-13633748,16620076,-1469850.8,-7782020,0.23648387,-0.215961,296.47507,0.1661
58,2014,11,14.7852,20.6073,9.0687,678.3478,11/1/2014,-88,30.25,-17579584,11904044,-5057897.5,-8670293,-0.80363876,-1.9557368,288.99112,0.0473
59,2014,12,14.7059,20.8158,9.2461,1551.1486,12/1/2014,-88,30.25,-6754261.5,9653876,-1598442,-6037525,-1.4261253,-1.6149617,288.77353,0.0837
60,2015,1,11.4836,11.3501,10.4069,2808.3871,1/1/2015,-88,30.25,-10448940,11015169,-3726985.8,-7092171.5,-0.8500292,-2.745782,285.87033,-0.0359
61,2015,2,11.597,18.921,8.3836,1627.3362,2/1/2015,-88,30.25,-11508264,13214264,-4165691,-7224490,-0.43959582,-2.3437376,284.71164,-0.0477
62,2015,3,16.4299,11.8228,9.2844,2764.7245,3/1/2015,-88,30.25,-4583440,15143871,-1067755.2,-4406370.5,-0.8622372,0.5336534,290.76944,-0.0331
63,2015,4,22.0041,11.4396,7.748,3004.3181,4/1/2015,-88,30.25,-4303856,16914828,-239005,-4514334,-0.5646059,1.7133983,294.96317,0.0812
64,2015,5,25.9985,12.8149,6.853,1036.3218,5/1/2015,-88,30.25,-8171970.5,22442040,-545305.75,-6010323,-2.0403104,2.1779575,297.74716,0.1273
65,2015,6,28.671,16.7617,6.4867,692.7328,6/1/2015,-88,30.25,-9810252,22130172,-747726.25,-5061637,1.2094624,1.8772739,300.40613,0.0913
66,2015,7,29.6568,20.1324,6.4331,599.9051,7/1/2015,-88,30.25,-9423800,22604764,-353410.5,-4661729,3.1511467,0.8450961,301.98938,0.0395
67,2015,8,29.3995,25.7436,6.1908,388.0863,8/1/2015,-88,30.25,-12481949,20631420,-976841.5,-5340507,0.92257416,0.7858653,301.3687,0.1262
68,2015,9,26.7859,25.9009,4.3628,259.8161,9/1/2015,-88,30.25,-12681292,17157692,-1257515,-5654908.5,-1.3140557,-0.83963925,299.59448,0.1867
69,2015,10,22.4815,27.9638,7.1204,341.5006,10/1/2015,-88,30.25,-13713989,14667649,-1520799.2,-6465372,-1.6413525,-1.152441,296.10272,0.2607
70,2015,11,19.0915,21.5905,8.7019,1465.1395,11/1/2015,-88,30.25,-10767745,10748398,-2184501,-6026981.5,-3.2213135,-1.4932159,293.21216,0.2333
71,2015,12,17.6073,17.1388,8.9591,2705.8073,12/1/2015,-88,30.25,-6513539,8518062,-1069128.2,-5110452,-1.6475786,0.8698982,291.5377,0.2002
72,2016,1,12.0465,8.2111,10.2561,4033.4085,1/1/2016,-88,30.25,-11844700,10429468,-4071268.5,-7270142.5,-0.6936446,-2.230033,285.55127,0.108
73,2016,2,13.6712,10.5424,10.2543,3913.7723,2/1/2016,-88,30.25,-11001271,14795330,-2384481,-7687025,1.487683,0.028210104,287.5619,0.0408
74,2016,3,18.4367,5.9502,9.1343,3278.172,3/1/2016,-88,30.25,-4945063.5,14964303,-295750,-4955571,-1.4731262,2.187584,291.4967,0.1389
75,2016,4,21.2003,9.1341,8.3965,2695.5706,4/1/2016,-88,30.25,-7009017.5,19553742,-443714,-6018968.5,-1.5274518,0.98552847,293.69177,0.2276
76,2016,5,25.5468,15.9303,7.0105,826.1472,5/1/2016,-88,30.25,-9945546,22709626,-695405,-6460944,-0.25757438,1.0666168,297.2918,0.2108
77,2016,6,29.277,19.017,6.4997,434.9366,6/1/2016,-88,30.25,-10373737,21561858,-712794.5,-5206396.5,0.5863655,1.4598274,300.70636,0.1647
78,2016,7,30.6943,21.7272,5.9371,285.1684,7/1/2016,-88,30.25,-10815602,21171210,-888063,-4931743,1.3032199,2.434247,301.68948,0.1401
79,2016,8,29.9954,22.7808,6.0225,342.9439,8/1/2016,-88,30.25,-10234125,17756704,-896147.75,-4428406,-0.23083884,1.1640134,301.35233,0.2343
80,2016,9,29.2176,23.1618,6.1984,208.6069,9/1/2016,-88,30.25,-10483124,17181598,-898588.25,-5339453,-0.7812981,0.16320637,300.75726,0.3015
81,2016,10,24.9162,25.5633,6.8613,145.1921,10/1/2016,-88,30.25,-13975581,16694782,-940537,-7698728,-2.4885886,-1.0983065,297.7516,0.2257
82,2016,11,19.4402,27.9118,7.7582,172.5958,11/1/2016,-88,30.25,-12012378,11885027,-1245617,-7546061,-1.7143564,-0.48164994,293.66513,0.2206
83,2016,12,14.7673,24.2973,9.0968,452.1828,12/1/2016,-88,30.25,-9803775,8217062,-2721289.2,-4828735,-1.5248882,-1.507599,289.22714,0.0817
84,2017,1,14.5259,14.4517,8.9649,2027.4829,1/1/2017,-88,30.25,-8022643.5,10870917,-2355345.8,-5799035.5,0.972505,0.5346726,288.6806,0.1082
85,2017,2,16.7551,14.8309,8.6196,1223.9128,2/1/2017,-88,30.25,-5450257.5,13682064,-709591.25,-6082334,-0.04491081,0.8356962,290.50504,0.0228
86,2017,3,19.127,19.7611,8.433,1549.002,3/1/2017,-88,30.25,-7915056,17199800,-1230210.5,-6233103,-1.2056485,1.0133884,291.29517,0.0451
87,2017,4,23.3429,14.7304,7.6061,1843.9711,4/1/2017,-88,30.25,-8654136,21574084,-710964,-6796748,-1.0829581,2.3861146,294.95908,0.1689
88,2017,5,24.5817,15.652,7.4284,1327.8935,5/1/2017,-88,30.25,-10666274,21649332,-1035569.25,-6249761.5,1.5498219,1.8200818,296.85593,0.1174
89,2017,6,27.3588,11.0749,7.0093,3051.9941,6/1/2017,-88,30.25,-8092089.5,17429082,-684117,-4102934,-1.4380891,2.4196372,299.12207,0.2306
90,2017,7,29.7606,8.0844,6.7835,1666.3523,7/1/2017,-88,30.25,-8755966,21007398,-703642.25,-4847818.5,1.6382078,1.1108983,301.08383,0.1728
91,2017,8,29.8103,16.1747,6.4885,826.8414,8/1/2017,-88,30.25,-10238443,18116656,-850843.25,-4485867,0.15859675,1.4320807,301.22525,0.2313
92,2017,9,27.4746,12.0658,7.3776,672.7505,9/1/2017,-88,30.25,-13396983,19024546,-1431868.2,-5846164,-0.49062532,-0.96104527,299.3161,0.2186
93,2017,10,24.2968,17.2795,6.8161,876.1857,10/1/2017,-88,30.25,-17097060,14713288,-2343752.8,-6463052.5,-2.5686731,-0.78188074,296.679,0.3363
94,2017,11,19.0921,22.4465,8.0878,721.5121,11/1/2017,-88,30.25,-11134046,12090946,-2162077.5,-7212260,-1.6186457,-1.656865,292.05383,0.1508
95,2017,12,13.9016,21.5845,9.6527,1143.3045,12/1/2017,-88,30.25,-10562645,8581631,-4016659.2,-5726708.5,-0.055287622,-2.1911874,287.333,0.0101
96,2018,1,9.8276,23.2989,11.0155,835.099,1/1/2018,-88,30.25,-12380119,10993164,-5666837.5,-7682069.5,-2.2123213,-2.5900607,283.8293,-0.1124
97,2018,2,16.8987,14.2111,9.0741,3847.2519,2/1/2018,-88,30.25,-2199602,12075462,37092,-3522209,-2.3038814,1.6918806,291.028,0.0576
98,2018,3,20.1805,12.1144,8.3092,2827.4782,3/1/2018,-88,30.25,-10145608,17810222,-1473969.5,-7364083.5,0.1263676,0.024133056,290.7353,0.1081
99,2018,4,23.3887,13.4858,7.4588,2931.3551,4/1/2018,-88,30.25,-9405449,20946546,-1233261.2,-6897647.5,0.5071355,-0.12173541,292.3804,0.0931
100,2018,5,28.2106,13.7312,6.4768,1161.7013,5/1/2018,-88,30.25,-8385706.5,23038878,-673134.25,-6097516.5,-0.025866311,1.5012776,298.3183,0.1576
101,2018,6,29.8802,15.4856,6.3897,1236.6419,6/1/2018,-88,30.25,-9406888,21821024,-628745,-4836115.5,2.2261457,1.9698008,300.92328,0.0745
102,2018,7,30.1444,19.5838,6.2258,675.31,7/1/2018,-88,30.25,-9650490,19828662,-856945,-4650026,1.6013396,0.6984349,301.27136,0.1317
103,2018,8,29.8818,21.5646,6.142,623.81,8/1/2018,-88,30.25,-10217933,18197882,-1032518.5,-4672694,-0.07176843,1.9425069,300.75317,0.2266
104,2018,9,29.6176,19.4484,6.1352,700.7653,9/1/2018,-88,30.25,-10108546,16223451,-1095212.5,-4598258.5,-1.4811834,1.9604009,300.69748,0.331
105,2018,10,25.6391,22.8966,6.9735,530.1088,10/1/2018,-88,30.25,-15343634,14680146,-1750982,-6164888,-2.388971,-0.61494744,298.02042,0.3277
106,2018,11,17.6709,19.1792,8.904,1670.1815,11/1/2018,-88,30.25,-15039942,10102660,-4399840,-6851889.5,0.046283044,-1.2610495,290.6154,0.1627
107,2018,12,14.6575,14.0718,9.7616,3735.7167,12/1/2018,-88,30.25,-7881232.5,8063030.5,-2045689.5,-5256688,-0.26624206,-0.05774808,288.60956,0.1751
108,2019,1,13.338,6.9197,9.9139,5750.594,1/1/2019,-88,30.25,-8997048,10917371,-2697798,-6672232,0.24551779,-1.0126882,286.4391,0.084
109,2019,2,15.1412,11.2303,9.2934,3864.4341,2/1/2019,-88,30.25,-3821331,10378124,-92719.5,-3042699.5,-1.86012,0.9543842,289.7836,0.1203
110,2019,3,16.4574,6.9353,7.2889,4792.2987,3/1/2019,-88,30.25,-8142824.5,16648328,-1789422.2,-6007898.5,-0.85906315,-0.66636384,289.20734,0.1121
111,2019,4,20.6865,13.2545,8.1721,3471.2621,4/1/2019,-88,30.25,-7110848,21039726,-682591.75,-6520513.5,-0.6432255,1.5738721,292.87262,0.1442
112,2019,5,26.8565,8.2167,7.0847,1688.5491,5/1/2019,-88,30.25,-8080215,23515100,-564373.25,-6223930.5,-1.0087334,2.7939348,298.26227,0.25
113,2019,6,29.1703,13.3468,6.1399,647.171,6/1/2019,-88,30.25,-10754432,22072852,-686557.75,-5091474.5,1.6722682,2.132317,300.9219,0.2271
114,2019,7,29.6478,19.2099,6.4109,587.3726,7/1/2019,-88,30.25,-10751913,21549090,-702727,-4937226,0.39018273,1.6227969,301.36154,0.2467
115,2019,8,30.4507,20.5323,6.0062,505.1443,8/1/2019,-88,30.25,-9050662,18824060,-813776,-4579280.5,1.897506,0.9935694,301.37384,0.1958
116,2019,9,29.8298,21.8104,6.0912,255.2948,9/1/2019,-88,30.25,-11534891,19423888,-477120.25,-5727446.5,-1.1197041,0.6775965,301.68607,0.2939
117,2019,10,25.2643,23.2242,6.6879,604.0704,10/1/2019,-88,30.25,-12524049,12655729,-1755710.8,-5266704,-1.5655408,-0.5404277,297.48618,0.4428
118,2019,11,16.4053,18.1781,9.0221,1397.7361,11/1/2019,-88,30.25,-14856072,12231123,-4372688,-8067743.5,-0.6493295,-2.6214314,289.81912,0.2175
119,2019,12,14.6332,18.1449,9.2659,2630.8043,12/1/2019,-88,30.25,-8965384,8748430,-2565851,-5296647,-0.7977789,-1.8754411,288.62457,0.1082
120,2020,1,14.3972,8.1206,9.7588,4993.1653,1/1/2020,-88,30.25,-6979512,9444426,-1477172.8,-5342405,-1.5724994,-0.40633744,288.20102,0.1421
121,2020,2,14.2447,6.9381,10.3976,7934.064,2/1/2020,-88,30.25,-6323911.5,12470184,-1316853.2,-5224531,0.2474711,0.32493007,288.1173,0.1085
122,2020,3,19.1995,2.5246,9.5645,5267.208,3/1/2020,-88,30.25,-3502527,16278326,139751.5,-4615760.5,-0.33350822,2.5881562,293.10217,0.1604
123,2020,4,22.0531,10.5812,7.8646,4456.1204,4/1/2020,-88,30.25,-10105668,20962304,-872046.5,-6512395.5,0.015152611,0.35686713,294.27042,0.227
124,2020,5,24.563,15.0639,7.2623,1516.7757,5/1/2020,-88,30.25,-9227696,22451276,-551864.75,-6136421,-0.74845856,1.6515629,296.60352,0.2043
125,2020,6,28.6175,14.2046,6.8506,1123.6578,6/1/2020,-88,30.25,-9958500,20528732,-730336.75,-5139024.5,-0.448996,2.2524776,299.98322,0.2809
126,2020,7,29.4239,18.4608,6.2877,941.7711,7/1/2020,-88,30.25,-9639335,18846608,-868233,-4342372.5,0.68488413,1.6640205,301.00528,0.1878
127,2020,8,29.9715,23.6912,3.8627,520.07,8/1/2020,-88,30.25,-10949816,19319842,-960672.25,-4826837.5,0.9288002,1.9178182,301.35266,0.2507
128,2020,9,27.5463,20.9045,6.5446,856.234,9/1/2020,-88,30.25,-17089144,15202278,-2272669,-4970964.5,-2.777308,-1.6106582,299.62558,0.4202
129,2020,10,24.0603,6.0111,7.7671,884.172,10/1/2020,-88,30.25,-11413630,14949905,-1323107.2,-6176696.5,-1.99099,-0.9637633,296.4737,0.3253
130,2020,11,20.903,21.3963,7.3999,968.3307,11/1/2020,-88,30.25,-12440210,12206130,-1814438.8,-6810243.5,-2.841156,-2.699009,293.25418,0.233
131,2020,12,13.9825,20.3084,9.7035,983.3237,12/1/2020,-88,30.25,-11007028,10155090,-3233518.8,-7681964,-0.21826458,-0.91325295,287.57828,0.0282
